gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1899354573,d9522343-146c-4d6b-b312-543d4d8ca0e8,e85995d6-4f26-4bbd-b85b-c11d64c2d2a9,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Oshawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899348520,d9522343-146c-4d6b-b312-543d4d8ca0e8,91a3b968-d361-4e9e-9942-2cb776af61f5,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Rouge River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899348500,d9522343-146c-4d6b-b312-543d4d8ca0e8,70d05cc1-3236-48e8-9629-8d8089cbc659,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Rouge River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899348456,d9522343-146c-4d6b-b312-543d4d8ca0e8,b190163a-ee11-476b-96e6-30b329501dab,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Jocelyn Tp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899348429,d9522343-146c-4d6b-b312-543d4d8ca0e8,847ccf19-0cf0-4825-89bc-185b0cee4446,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Mattawan Tp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899348424,d9522343-146c-4d6b-b312-543d4d8ca0e8,62e69e90-63cf-4fb3-8ece-a745250fadcf,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Orig Tp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899347430,d9522343-146c-4d6b-b312-543d4d8ca0e8,f35bca00-fdd9-40ae-939c-9fa1e3ce627d,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Matchedash Tp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899347264,d9522343-146c-4d6b-b312-543d4d8ca0e8,734b7d5b-45c1-48ee-b6e0-af6c12a0a17c,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Oliphant,Ontario,PRESENT,,ff418020-1d67-11d9-8435-b8a03c50a862,44.73307,-81.26311,3164,,,,,,,,,,2880539,2880539,PRESERVED_SPECIMEN,Royal Ontario Museum,TRT,TRT00034918,,,,,,,,,,,
1899346572,d9522343-146c-4d6b-b312-543d4d8ca0e8,ed2cbb58-ec31-4440-a10f-b1d2e1535fd2,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,Niagara,Ontario,PRESENT,,ff418020-1d67-11d9-8435-b8a03c50a862,43.011221,-79.321412,37800,,,,,,,,,,2880539,2880539,PRESERVED_SPECIMEN,Royal Ontario Museum,TRT,TRT00035016,,,,,,,,,,,
1899346096,d9522343-146c-4d6b-b312-543d4d8ca0e8,c2dfd8dc-9e8b-4a05-8bb9-55b087380c76,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,,SPECIES,Quercus rubra L.,Quercus rubra Linnaeus,L.,CA,King Tp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
