id,paper_id,primers,longitude,latitude,continent,sample_type,ITS1_extracted,ITS2_extracted,ITS_total,Biome,MAT,MAP,pH,year_of_sampling,manipulated,abundances
15742,UOBC_2016_5CA6,ITS3/ITS4,-126.31,52.32,North America,soil,0,7400,7400,forest,-1.9,1253,4.4,2008,FALSE,1
15761,Odriozola_2021_QY,gITS7/ITS4,13.4546,49.0049,Europe,soil,0,12656,12656,forest,4.8,1127,4.07,2016,FALSE,2
15767,Freed_2019_B98F,ITS1F/ITS2,-123,43.93,North America,soil,21040,0,21040,wetland,12.4,1029,5.9,2016,FALSE,67
15770,Farrer_2019_50DE,ITS1F/ITS2,-105.644,40.052,North America,soil,38588,0,38588,tundra,-3.7,757,5.24,2015,FALSE,10
15779,TignatPerrier_2020_addCL,5.8S_Fun/ITS4_Fun,2.95,45.77,Europe,air,0,7141,7141,grassland,6.9,1214,NA_,2016,FALSE,2
15780,Farrer_2019_50DE,ITS1F/ITS2,-105.643,40.051,North America,soil,43159,0,43159,tundra,-3.7,757,4.35,2015,FALSE,35
15839,Bissett_AAAA_2016,ITS1F/ITS4,148.796,-35.4238,Australia,soil,71965,6342,78307,forest,9.2,1221,5.4,2013,FALSE,156
15873,Froeslev_2019_CA74,gITS7/ITS4,10.407,57.6432,Europe,soil,0,6494,6494,shrubland,8.3,706,4.473798297,2014,FALSE,4
15971,FelipeLucia_2020_QA,fITS7/ITS4,13.8464,52.9008,Europe,soil,0,43700,43700,forest,9,586,3.645,2011,FALSE,1046
16085,Mikryukov_2021_SP,fITS7/ITS4,59.863,56.848,Asia,litter,0,46089,46089,forest,1.6,512,4.98,2017,FALSE,42
16086,Grau_2019_B3C6,fITS7/ITS4,0.83592,42.6679,Europe,soil,0,37613,37613,shrubland,4.6,1219,4.9,2013,FALSE,1
16089,Geml_2014_2936,ITS1F/ITS4,4.70826,52.8215,Europe,soil,373,28756,29129,woodland,10.2,772,5.32,2010,FALSE,18
16098,Abrego_2020_CV,ITS_S2F + ITS3 mixed 1:1/ITS4,25.7997,61.0268,Europe,air,0,80384,80384,forest,4.3,646,NA_,2019,FALSE,19
16099,Abrego_2020_CV,ITS_S2F + ITS3 mixed 1:1/ITS4,30.1733,62.6131,Europe,air,0,183172,183172,forest,2.5,731,NA_,2019,FALSE,97
16127,Praeg_2019_F04A,gITS7/ITS4,11.096,47.043,Europe,soil,0,35119,35119,grassland,-4.8,1271,4.43,2016,FALSE,16
16181,UOBC_2016_5CA6,ITS3/ITS4,-121.92,52.32,North America,soil,0,9314,9314,forest,4.2,583,5.15,2009,FALSE,33
16215,Shigyo_2021_TF,fITS7/ITS4,138.8,35.9156,Asia,soil,0,27482,27482,forest,5.5,1432,NA_,2014,FALSE,1
16240,Siles_2017_6F2C,ITS1F/ITS2,11.4347,46.5878,Europe,soil,100799,0,100799,forest,3,987,3.17,2015,FALSE,1
16256,Odriozola_2020_GA,gITS7/ITS4,16.7671,49.3253,Europe,rhizosphere soil,0,7535,7535,forest,8,607,4.62,2014,FALSE,3
16286,Franzetti_2020_GF,ITS1F/ITS2,10.5833,46.4048,Europe,soil,46952,0,46952,tundra,-1.5,960,4.16,2015,FALSE,2
16324,Fernandez_2017_498D,ITS1F/ITS2,-91.7581,47.9461,North America,root,40302,0,40302,forest,3.5,688,NA_,2014,FALSE,5259
16339,Odriozola_2021_QY,gITS7/ITS4,13.8985,48.7587,Europe,soil,0,26950,26950,forest,5.2,1013,3.8,2016,FALSE,5
16350,Rincon_2015_E6C1,ITS1F/ITS2,-3.97,40.85,Europe,root,4219,0,4219,forest,6.3,661,3.8,2010,FALSE,14
16358,Sun_2015_42A8,gITS7/ITS4,29.5833,67.7667,Europe,soil,0,7225,7225,forest,-0.3,538,4.1,2011,FALSE,2
16411,Polackova_2016_KRTINY,gITS7/ITS4,16.7611,49.3078,Europe,litter,0,20683,20683,forest,7.8,648,4.56,2013,FALSE,52
16424,Farrer_2019_50DE,ITS1F/ITS2,-105.644,40.0515,North America,soil,31237,0,31237,tundra,-3.7,757,4.52,2015,FALSE,6
16467,Odriozola_2021_QY,gITS7/ITS4,13.6453,48.9394,Europe,litter,0,32395,32395,forest,5.5,1091,3.87,2016,FALSE,1
16469,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,14.5284,50.2006,Europe,soil,7205,6171,13376,forest,9.3,488,NA_,2017,FALSE,2
16485,Polackova_2016_KRTINY,gITS7/ITS4,16.7611,49.3078,Europe,litter,0,14386,14386,forest,7.8,648,5,2013,FALSE,3
16486,Froeslev_2019_CA74,gITS7/ITS4,9.86962,55.689,Europe,soil,0,46762,46762,anthropogenic,8.4,733,4.760258523,2014,FALSE,35
16506,Froeslev_2019_CA74,gITS7/ITS4,10.3637,57.6282,Europe,soil,0,39862,39862,grassland,8.4,695,5.269025749,2014,FALSE,104
16510,Froeslev_2019_CA74,gITS7/ITS4,12.2721,55.9569,Europe,soil,0,35318,35318,forest,8.3,641,3.944982583,2014,FALSE,5
16511,Farrer_2019_50DE,ITS1F/ITS2,-105.642,40.0521,North America,soil,37360,0,37360,tundra,-3.7,757,5.54,2015,FALSE,6
16579,Geml_2019_8775,fITS7/ITS4,20.1839,47.9135,Europe,soil,0,50981,50981,forest,9.9,534,5.91,2017,FALSE,1
16605,Zhou_2016_A8F1,gITS7/ITS4,-105.38,39.99,North America,soil,0,29359,29359,forest,5.2,484,4.83,2012,FALSE,1443
16646,Mikryukov_2021_SP,fITS7/ITS4,59.863,56.848,Asia,litter,0,56959,56959,forest,1.6,512,4.98,2017,FALSE,9
16671,Farrer_2019_50DE,ITS1F/ITS2,-105.639,40.0542,North America,soil,23416,0,23416,tundra,-3.3,735,4.8,2015,FALSE,3
16673,Vannette_2016_07A8,ITS1F/ITS2,-155.359,19.6354,North America,root,96048,0,96048,forest,14.2,2603,NA_,2014,FALSE,1
16693,Bissett_AAAA_2016,ITS1F/ITS4,115.259,-30.1119,Australia,soil,88681,9011,97692,woodland,19.3,523,6.1,2013,FALSE,5
16717,Porazinska_2018_2471,ITS1F/ITS2,-105.642,40.0521,North America,soil,12364,0,12364,tundra,-3.7,757,5.54,2015,FALSE,6
16784,Yang_2020_addH,ITS3/ITS4,122.433,50.9888,Asia,soil,0,35841,35841,forest,-3.2,477,4.97,2017,FALSE,582
16785,Froeslev_2019_CA74,gITS7/ITS4,8.21641,55.6726,Europe,soil,0,26813,26813,anthropogenic,8.9,777,4.975936391,2014,FALSE,4
16805,UOBC_2016_5CA6,ITS3/ITS4,-89.38,49.08,North America,soil,0,16825,16825,forest,1.9,731,4.98,2011,FALSE,8
16849,Yang_2020_addH,ITS3/ITS4,122.094,50.9428,Asia,soil,0,31183,31183,forest,-2.6,384,5.65,2017,FALSE,5
16891,ArraianoCastilho_2020_BA,fITS7/ITS4,8.37415,46.5687,Europe,soil,1,63869,63870,woodland,2.3,1544,NA_,2017,FALSE,903
16903,Farrer_2019_50DE,ITS1F/ITS2,-105.642,40.0524,North America,soil,25554,0,25554,tundra,-3.7,757,5.45,2015,FALSE,1
16921,Siles_2017_6F2C,ITS1F/ITS2,11.4347,46.5878,Europe,soil,148215,0,148215,forest,3,987,3.17,2015,FALSE,2
16966,Mikryukov_2021_SP,fITS7/ITS4,59.863,56.848,Asia,litter,0,84970,84970,forest,1.6,512,4.825,2017,FALSE,4
16973,Glassman_2017_E29A,ITS1F/ITS2,-119.267,37.9146,North America,soil,39636,0,39636,forest,1.8,751,4.2,2013,FALSE,2
16999,UOBC_2016_5CA6,ITS3/ITS4,-89.41,49.07,North America,soil,0,19038,19038,forest,1.9,724,4.28,2011,FALSE,34
17024,TignatPerrier_2020_addCL,5.8S_Fun/ITS4_Fun,2.95,45.77,Europe,air,0,32501,32501,grassland,6.9,1214,NA_,2017,FALSE,2
17036,Khomich_2017_FA,fITS7a/ITS4,13.2081,60.8784,Europe,water,0,1004,1004,aquatic,3.3,582,NA_,2011,FALSE,1
17064,Farrer_2019_50DE,ITS1F/ITS2,-105.626,40.0558,North America,soil,38390,0,38390,tundra,-2.8,672,5.37,2015,FALSE,4
17113,Bissett_AAAA_2016,ITS1F/ITS4,148.799,-35.4214,Australia,soil,124665,22232,146897,forest,9.2,1221,6,2013,FALSE,2
17183,ArraianoCastilho_2020_BA,fITS7/ITS4,8.37203,46.5676,Europe,soil,1,58045,58046,woodland,2.3,1544,NA_,2017,FALSE,8
17220,Mikryukov_2021_SP,fITS7/ITS4,59.863,56.848,Asia,deadwood,0,69447,69447,forest,1.6,512,4.175,2017,FALSE,320
